날짜,제품,가격,판매량,고객_연령,고객_성별,지역
2023-01-01,노트북,1200000,5,34,남성,서울
2023-01-02,노트북,1200000,3,42,여성,부산
2023-01-03,노트북,1200000,2,28,남성,대구
2023-01-04,노트북,1200000,7,45,여성,인천
2023-01-05,노트북,1200000,4,31,남성,광주
2023-01-06,태블릿,800000,8,29,여성,서울
2023-01-07,태블릿,800000,6,38,남성,부산
2023-01-08,태블릿,800000,5,27,여성,대구
2023-01-09,태블릿,800000,9,33,남성,인천
2023-01-10,태블릿,800000,7,41,여성,광주
2023-01-11,스마트폰,1500000,12,25,남성,서울
2023-01-12,스마트폰,1500000,9,36,여성,부산
2023-01-13,스마트폰,1500000,8,44,남성,대구
2023-01-14,스마트폰,1500000,15,30,여성,인천
2023-01-15,스마트폰,1500000,11,39,남성,광주
2023-01-16,이어폰,150000,25,22,여성,서울
2023-01-17,이어폰,150000,18,42,남성,부산
2023-01-18,이어폰,150000,20,31,여성,대구
2023-01-19,이어폰,150000,28,27,남성,인천
2023-01-20,이어폰,150000,22,35,여성,광주
2023-01-21,스마트워치,300000,14,33,남성,서울
2023-01-22,스마트워치,300000,11,29,여성,부산
2023-01-23,스마트워치,300000,9,46,남성,대구
2023-01-24,스마트워치,300000,16,38,여성,인천
2023-01-25,스마트워치,300000,13,25,남성,광주 